,Team,Number,Position,Birthdate,College,Draft Info
Jonathon Cooper,Denver Broncos,#0,Linebacker,1/8/1998 (25),Ohio State,"2021: Rd 7, Pk 239 (DEN)"
Jonas Griffith,Denver Broncos,#50,Linebacker,1/27/1997 (26),Indiana St,Not Available
Marcus Haynes,Denver Broncos,#52,Linebacker,4/7/1998 (25),Old Dominion,Not Available
Thomas Incoom,Denver Broncos,#59,Linebacker,2/19/1999 (24),C Michigan,Not Available
Josey Jewell,Denver Broncos,#47,Linebacker,12/25/1994 (28),Iowa,"2018: Rd 4, Pk 106 (DEN)"
Ben Niemann,Denver Broncos,#57,Linebacker,7/27/1995 (28),Iowa,Not Available
Drew Sanders,Denver Broncos,#41,Linebacker,12/31/2001 (21),Arkansas,"2023: Rd 3, Pk 67 (DEN)"
Alex Singleton,Denver Broncos,#49,Linebacker,12/7/1993 (29),Montana State,Not Available
Justin Strnad,Denver Broncos,#40,Linebacker,8/21/1996 (27),Wake Forest,"2020: Rd 5, Pk 178 (DEN)"
Art Green,Denver Broncos,#28,Cornerback,4/29/2000 (23),Houston,Not Available
Damarri Mathis,Denver Broncos,#27,Cornerback,4/12/1999 (24),Pitt,"2022: Rd 4, Pk 115 (DEN)"
Ja'Quan McMillian,Denver Broncos,#29,Cornerback,6/4/2000 (23),East Carolina,Not Available
Fabian Moreau,Denver Broncos,#23,Cornerback,4/9/1994 (29),UCLA,"2017: Rd 3, Pk 81 (WSH)"
Riley Moss,Denver Broncos,#37,Cornerback,3/3/2000 (23),Iowa,"2023: Rd 3, Pk 83 (DEN)"
Tremon Smith,Denver Broncos,#1,Cornerback,7/20/1996 (27),Cent Arkansas,"2018: Rd 6, Pk 196 (KC)"
Pat Surtain II,Denver Broncos,#2,Cornerback,4/14/2000 (23),Alabama,"2021: Rd 1, Pk 9 (DEN)"
K'Waun Williams,Denver Broncos,#8,Cornerback,7/12/1991 (32),Pitt,Not Available
Kareem Jackson,Denver Broncos,#22,Safety,4/10/1988 (35),Alabama,"2010: Rd 1, Pk 20 (HOU)"
Devon Key,Denver Broncos,#26,Safety,10/28/1997 (25),Western KY,Not Available
P.J. Locke,Denver Broncos,#6,Safety,2/12/1997 (26),Texas,Not Available
Justin Simmons,Denver Broncos,#31,Safety,11/19/1993 (29),Boston College,"2016: Rd 3, Pk 98 (DEN)"
JL Skinner,Denver Broncos,#34,Safety,4/16/2001 (22),Boise St,"2023: Rd 6, Pk 183 (DEN)"
Caden Sterns,Denver Broncos,#30,Safety,11/2/1999 (23),Texas,"2021: Rd 5, Pk 152 (DEN)"
Delarrin Turner-Yell,Denver Broncos,#32,Safety,12/16/1999 (23),Oklahoma,"2022: Rd 5, Pk 152 (DEN)"
Wil Lutz,Denver Broncos,#16,Place Kicker,7/7/1994 (29),Georgia State,Not Available
Riley Dixon,Denver Broncos,#9,Punter,8/24/1993 (30),Syracuse,"2016: Rd 7, Pk 228 (DEN)"
Mitchell Fraboni,Denver Broncos,#48,Long Snapper,10/28/1996 (26),Arizona State,Not Available
