,Team,Number,Position,Birthdate,College,Draft_Year,Draft_Round,Draft_Pick_Overall,Draft_Team,Height,Weight,Age
D.J. Jones,Broncos,#93,DT,1/19/1995,Ole Miss,2017,6,198,SF,6' 0,305 lbs,28
Tyler Lancaster,Broncos,#96,DT,11/4/1994,Northwestern,undrafted,undrafted,undrafted,undrafted,6' 3,313 lbs,28
PJ Mustipher,Broncos,#97,DT,11/10/1999,Penn State,undrafted,undrafted,undrafted,undrafted,6' 4,315 lbs,23
Haggai Ndubuisi,Broncos,#64,DT,10/15/2000,Not Available,undrafted,undrafted,undrafted,undrafted,6' 7,323 lbs,23
Mike Purcell,Broncos,#98,DT,4/20/1991,Wyoming,undrafted,undrafted,undrafted,undrafted,6' 3,328 lbs,32
Nik Bonitto,Broncos,#42,LB,9/26/1999,Oklahoma,2022,2,64,DEN,6' 3,240 lbs,24
Baron Browning,Broncos,#56,LB,2/19/1999,Ohio State,2021,3,105,DEN,6' 3,240 lbs,24
Jonathon Cooper,Broncos,#0,LB,1/8/1998,Ohio State,2021,7,239,DEN,6' 4,257 lbs,25
Jonas Griffith,Broncos,#50,LB,1/27/1997,Indiana St,undrafted,undrafted,undrafted,undrafted,6' 4,250 lbs,26
Marcus Haynes,Broncos,#52,LB,4/7/1998,Old Dominion,undrafted,undrafted,undrafted,undrafted,6' 4,240 lbs,25
Thomas Incoom,Broncos,#59,LB,2/19/1999,C Michigan,undrafted,undrafted,undrafted,undrafted,6' 2,265 lbs,24
Josey Jewell,Broncos,#47,LB,12/25/1994,Iowa,2018,4,106,DEN,6' 2,236 lbs,28
Ben Niemann,Broncos,#57,LB,7/27/1995,Iowa,undrafted,undrafted,undrafted,undrafted,6' 2,235 lbs,28
Drew Sanders,Broncos,#41,LB,12/31/2001,Arkansas,2023,3,67,DEN,6' 5,233 lbs,21
Alex Singleton,Broncos,#49,LB,12/7/1993,Montana State,undrafted,undrafted,undrafted,undrafted,6' 2,240 lbs,29
Justin Strnad,Broncos,#40,LB,8/21/1996,Wake Forest,2020,5,178,DEN,6' 3,235 lbs,27
Art Green,Broncos,#28,CB,4/29/2000,Houston,undrafted,undrafted,undrafted,undrafted,6' 1,201 lbs,23
Damarri Mathis,Broncos,#27,CB,4/12/1999,Pitt,2022,4,115,DEN,5' 11,195 lbs,24
Ja'Quan McMillian,Broncos,#29,CB,6/4/2000,East Carolina,undrafted,undrafted,undrafted,undrafted,5' 10,183 lbs,23
Fabian Moreau,Broncos,#23,CB,4/9/1994,UCLA,2017,3,81,WSH,6' 0,198 lbs,29
Riley Moss,Broncos,#37,CB,3/3/2000,Iowa,2023,3,83,DEN,6' 0,193 lbs,23
Tremon Smith,Broncos,#1,CB,7/20/1996,Cent Arkansas,2018,6,196,KC,6' 0,190 lbs,27
Pat Surtain II,Broncos,#2,CB,4/14/2000,Alabama,2021,1,9,DEN,6' 2,202 lbs,23
K'Waun Williams,Broncos,#8,CB,7/12/1991,Pitt,undrafted,undrafted,undrafted,undrafted,5' 9,185 lbs,32
Kareem Jackson,Broncos,#22,S,4/10/1988,Alabama,2010,1,20,HOU,5' 10,183 lbs,35
Devon Key,Broncos,#26,S,10/28/1997,Western KY,undrafted,undrafted,undrafted,undrafted,6' 0,208 lbs,25
P.J. Locke,Broncos,#6,S,2/12/1997,Texas,undrafted,undrafted,undrafted,undrafted,5' 10,202 lbs,26
Justin Simmons,Broncos,#31,S,11/19/1993,Boston College,2016,3,98,DEN,6' 2,202 lbs,29
JL Skinner,Broncos,#34,S,4/16/2001,Boise St,2023,6,183,DEN,6' 4,220 lbs,22
Caden Sterns,Broncos,#30,S,11/2/1999,Texas,2021,5,152,DEN,6' 1,207 lbs,23
Delarrin Turner-Yell,Broncos,#32,S,12/16/1999,Oklahoma,2022,5,152,DEN,5' 11,200 lbs,23
Wil Lutz,Broncos,#16,PK,7/7/1994,Georgia State,undrafted,undrafted,undrafted,undrafted,5' 11,184 lbs,29
Riley Dixon,Broncos,#9,P,8/24/1993,Syracuse,2016,7,228,DEN,6' 4,221 lbs,30
Mitchell Fraboni,Broncos,#48,LS,10/28/1996,Arizona State,undrafted,undrafted,undrafted,undrafted,6' 2,223 lbs,26
