Field Position,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,P.J. Locke,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,P.J. Locke,5.0,3.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,P.J. Locke,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,P.J. Locke,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Randy Gregory,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Randy Gregory,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Randy Gregory,3.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
Own 1-20,,46,46.0,,46,,3.0,3.0,,,,,Riley Dixon,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,43.0,,,
Own 21-50,,328,46.9,,61,,31.0,10.3,,,,,Riley Dixon,,,,,,,,,,,,7.0,0.0,0.0,2.0,28.57,3.0,42.4,,,
Opp 49-20,,74,37.0,,43,,5.0,5.0,,,,,Riley Dixon,,,,,,,,,,,,2.0,0.0,0.0,2.0,100.0,1.0,34.5,,,
Own 1-20,,92,10.2,0.0,53,1.0,14.0,14.0,0.0,14.0,,,Russell Wilson,,,,0.0,,,,,,1.0,,,,,,,9.0,,4.0,44.4,42.1
Own 21-50,,409,8.2,2.0,60,2.0,10.0,5.0,0.0,9.0,,,Russell Wilson,,,,2.0,,,,,,1.0,,,,,,,50.0,,31.0,62.0,92.8
Opp 49-20,,213,8.2,0.0,38,3.0,31.0,10.3,0.0,15.0,,,Russell Wilson,,,,4.0,,,,,,0.0,,,,,,,26.0,,21.0,80.8,100.8
Opp 19-Goal,,77,4.1,4.0,16,1.0,2.0,2.0,0.0,2.0,,,Russell Wilson,,,,4.0,,,,,,0.0,,,,,,,19.0,,12.0,63.2,111.2
Own 1-20,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
Own 21-50,5.0,29,5.8,0.0,11,5.0,50.0,10.0,0.0,20.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
Opp 49-20,2.0,18,3.6,0.0,12,5.0,10.0,5.0,0.0,9.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
Opp 19-Goal,2.0,7,3.5,0.0,4,2.0,12.0,6.0,0.0,7.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Thomas Incoom,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 1-20,2.0,16,8.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
Own 21-50,27.0,363,13.4,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
Opp 49-20,20.0,317,15.9,3.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
Opp 19-Goal,4.0,38,9.5,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
Opp 19-Goal,,0,0.0,0.0,0,,,,,,,,Tremon Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Tyler Badie,,,,,,,,,,,,,,,,,,,,,
Opp 49-20,1.0,0,0.0,0.0,0,0.0,24.0,24.0,1.0,24.0,0.0,0.0,Tyler Badie,,,,,,,,,,,,,,,,,,,,,
Own 1-20,,0,0.0,0.0,0,,,,,,,,Zach Allen,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Own 21-50,,0,0.0,0.0,0,,,,,,,,Zach Allen,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Opp 49-20,,0,0.0,0.0,0,,,,,,,,Zach Allen,4.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
